file,Rinf,Ro,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pe-f,Pe-i,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
BC13858 2014-10-23.z,5.85E+01,2.18E+05,1.34E+05,1.02E-10,6.96E-12,8.07E-01,1.71E+05,5.86E+01,1.02E-10,6.96E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.79E+10,7.07E-11,8.91E-11,8.43E+04,1.38E-06,1.43E-10,1.90E-01,1.33E+04,3.45E+05,2.06E-07,2.13E-11,1.00E+10,1.17E-04,7.81E-01,3.56E-02,2.10E+05,2.15E+10,8.53E-02,6.41E+00,1.98E+01,2.17E+05,1.30E+05,1.85E+04,1.12E+04,5.98E+03,4.64E+03,3.35E+03,2.02E+03,1.19E+03,5.40E+02,p3Zarc,E,2.81E-05,1.00E+06,1.59E-02,2014-10-27/13:40:48
BC13858 2014-10-23.z,5.85E+01,2.18E+05,1.34E+05,1.02E-10,6.96E-12,8.07E-01,1.71E+05,5.86E+01,1.02E-10,6.96E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.79E+10,7.07E-11,8.91E-11,8.43E+04,1.38E-06,1.43E-10,1.90E-01,1.33E+04,3.45E+05,2.06E-07,2.13E-11,1.00E+10,1.17E-04,7.81E-01,3.56E-02,2.10E+05,2.15E+10,8.53E-02,6.41E+00,1.98E+01,2.17E+05,1.30E+05,1.85E+04,1.12E+04,5.98E+03,4.64E+03,3.35E+03,2.02E+03,1.19E+03,5.40E+02,p3Zarc,E,2.81E-05,1.00E+06,1.59E-02,2014-10-27/13:40:49
BC13859 2014-10-23.z,1.45E+02,1.55E+05,1.26E+05,1.35E-10,7.28E-12,7.90E-01,1.74E+05,1.45E+02,1.34E-10,7.26E-12,8.71E+03,2.44E-06,5.24E-08,5.01E-01,3.49E+02,1.94E+06,1.03E-08,2.20E-10,2.08E+04,3.12E-05,7.12E-06,2.26E-01,1.08E+00,1.00E+06,5.60E-07,1.28E-07,1.00E+10,2.88E-04,7.75E-01,3.94E-02,1.47E+05,2.63E+07,8.80E-02,8.47E+00,2.51E+01,1.52E+05,8.96E+04,1.34E+04,8.71E+03,5.11E+03,4.09E+03,3.04E+03,1.88E+03,1.12E+03,5.14E+02,p3Zarc,E,2.79E-05,1.00E+06,1.59E-02,2014-10-27/13:42:11
BC13860 2014-10-23.z,7.91E+01,2.14E+05,1.94E+05,7.60E-11,7.63E-12,8.29E-01,1.08E+05,7.91E+01,7.59E-11,7.62E-12,1.00E+00,1.28E+00,1.59E+00,5.31E-01,1.00E-01,3.77E+10,3.40E-11,4.22E-11,2.01E+04,7.76E-07,2.28E-09,4.16E-01,3.48E+03,2.07E+06,6.85E-09,2.01E-11,1.00E+10,1.15E-04,9.06E-01,4.95E-02,2.14E+05,5.87E+07,1.60E-02,3.17E-01,1.34E+00,2.19E+05,1.21E+05,3.51E+03,1.28E+03,4.27E+02,2.90E+02,1.84E+02,9.87E+01,5.41E+01,2.36E+01,p3Zarc,B - Difficult Fit,3.18E-05,1.00E+06,6.31E-02,2014-10-27/14:01:33
BC13861-A 2014-10-23.z,1.15E+01,7.85E+04,6.69E+04,4.01E-10,9.84E-12,7.40E-01,2.42E+05,1.15E+01,4.00E-10,9.84E-12,9.96E-01,1.27E+00,1.60E+00,5.03E-01,1.00E-01,4.49E+09,2.81E-10,3.54E-10,1.16E+04,1.45E-05,3.37E-07,3.22E-01,4.07E+01,4.52E+05,3.17E-07,7.38E-09,1.00E+10,4.44E-04,2.52E-01,-2.06E+00,7.72E+04,1.14E+06,7.66E-02,4.52E+00,1.48E+01,7.88E+04,4.58E+04,6.03E+03,3.63E+03,1.75E+03,1.30E+03,8.92E+02,5.14E+02,2.92E+02,1.31E+02,p3Zarc,D - Three Bump,1.45E-06,1.00E+06,2.51E-02,2014-10-27/14:04:55
BC13863-A 2014-10-23.z,5.44E+01,2.22E+05,1.76E+05,3.41E-10,1.08E-11,7.38E-01,8.36E+04,5.44E+01,3.41E-10,1.08E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,3.08E+10,4.09E-11,5.16E-11,4.60E+04,2.77E-06,5.35E-09,2.48E-01,6.47E+02,8.46E+05,1.19E-07,2.30E-10,1.00E+10,7.10E-05,4.64E-01,9.82E-02,2.17E+05,1.22E+10,6.95E-02,4.33E+00,1.38E+01,2.25E+05,1.34E+05,1.56E+04,8.95E+03,4.46E+03,3.38E+03,2.39E+03,1.41E+03,8.15E+02,3.68E+02,p3Zarc,B,2.35E-05,1.00E+06,1.59E-01,2014-10-27/14:15:10
BC13864 2014-10-23.z,3.11E+01,1.51E+05,1.15E+05,9.33E-11,7.63E-12,8.20E-01,1.81E+05,3.11E+01,9.32E-11,7.62E-12,6.39E-01,2.07E+00,2.77E+00,4.90E-01,9.00E-02,2.08E+10,6.36E-11,8.51E-11,3.59E+04,2.02E-06,2.32E-10,2.24E-01,1.91E+04,4.86E+05,1.14E-07,1.31E-11,1.00E+10,3.71E-04,3.82E-01,5.63E-01,1.49E+05,8.34E+06,4.62E-02,2.83E+00,9.06E+00,1.52E+05,8.67E+04,7.04E+03,3.97E+03,1.97E+03,1.50E+03,1.06E+03,6.27E+02,3.63E+02,1.64E+02,p3Zarc,B,6.81E-06,1.00E+06,3.98E-01,2014-10-27/14:17:23
BC13866 2014-10-23.z,2.39E+02,4.85E+03,8.54E+02,7.22E-09,1.89E-10,7.67E-01,9.85E+05,3.05E+02,4.41E-09,1.16E-10,2.36E+03,1.86E-06,1.61E-08,5.34E-01,4.19E+03,1.60E+03,8.68E-07,7.53E-09,1.40E+03,1.56E-05,3.97E-07,5.10E-01,2.87E+02,1.20E+04,1.29E-06,3.28E-08,1.00E+10,4.24E-04,2.08E-01,-2.09E+00,4.82E+03,5.39E+05,1.82E-01,2.19E+00,9.55E+00,4.94E+03,3.66E+03,8.99E+02,2.87E+02,7.81E+01,5.00E+01,3.00E+01,1.52E+01,8.10E+00,3.45E+00,p3Zarc,?,1.99E-06,1.00E+06,2.51E-02,2014-10-27/14:19:42
BC13867-A 2014-10-23.z,3.13E+03,1.03E+05,9.33E+04,1.07E-10,9.36E-12,8.25E-01,1.82E+05,3.24E+03,1.00E-10,8.76E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,9.30E+09,1.36E-10,1.71E-10,6.51E+03,2.32E-05,1.20E-06,3.90E-01,2.04E+01,1.53E+06,9.27E-08,4.80E-09,1.00E+10,1.90E-04,1.02E+00,2.52E-02,1.02E+05,8.21E+09,3.86E-02,1.88E+00,6.57E+00,1.04E+05,5.74E+04,4.01E+03,2.40E+03,1.06E+03,7.62E+02,5.06E+02,2.81E+02,1.57E+02,6.89E+01,p3Zarc,B,1.56E-06,1.00E+06,2.51E-02,2014-10-27/14:23:16
BC13868 2014-10-23.z,1.97E+02,4.53E+04,3.04E+04,2.05E-10,8.48E-12,7.90E-01,6.17E+05,1.99E+02,2.02E-10,8.37E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,9.38E+08,1.35E-09,1.70E-09,1.46E+04,1.47E-05,1.46E-07,2.50E-01,7.45E+01,9.47E+04,1.54E-06,1.53E-08,1.00E+10,7.34E-04,3.66E-01,3.19E-01,4.30E+04,5.92E+08,1.40E-01,1.08E+01,3.34E+01,4.42E+04,2.74E+04,6.19E+03,3.95E+03,2.11E+03,1.62E+03,1.16E+03,6.92E+02,4.03E+02,1.82E+02,p3Zarc,D,5.58E-05,1.00E+06,2.51E-02,2014-10-27/14:24:23
BC13869 2014-10-23.z,1.63E+02,5.64E+04,2.81E+04,3.56E-10,1.16E-11,7.71E-01,4.89E+05,1.64E+02,3.52E-10,1.15E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,7.99E+08,1.58E-09,1.99E-09,2.81E+04,1.57E-05,2.73E-07,1.68E-01,2.07E+01,5.67E+04,3.90E-06,6.80E-08,1.00E+10,2.33E-04,3.98E-01,2.95E-01,4.83E+04,1.81E+09,1.95E-01,2.16E+01,6.33E+01,5.09E+04,3.32E+04,9.95E+03,7.03E+03,4.28E+03,3.45E+03,2.58E+03,1.61E+03,9.61E+02,4.43E+02,p3Zarc,B,1.34E-05,1.00E+06,2.51E-02,2014-10-27/14:29:55
BC13870 2014-10-23.z,7.82E+01,7.08E+05,2.66E+05,2.53E-11,7.50E-12,9.07E-01,7.98E+04,7.83E+01,2.53E-11,7.50E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,7.07E+10,1.78E-11,2.25E-11,4.42E+05,4.32E-09,6.39E-12,4.90E-01,5.64E+04,4.26E+05,1.69E-09,2.49E-12,7.84E+05,5.64E-06,2.96E-01,7.93E-02,7.07E+05,5.20E+11,2.05E-02,2.49E-01,1.19E+00,7.42E+05,4.42E+05,1.52E+04,4.51E+03,1.27E+03,8.29E+02,5.06E+02,2.61E+02,1.40E+02,6.00E+01,p3Zarc,B,1.26E-04,1.00E+06,2.51E-02,2014-10-27/14:33:35
BC13871-B 2014-10-23.z,3.15E+01,2.92E+05,1.84E+05,7.69E-11,9.16E-12,8.40E-01,9.46E+04,3.16E+01,7.69E-11,9.16E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,3.37E+10,3.74E-11,4.72E-11,1.09E+05,4.50E-07,7.34E-12,2.15E-01,2.00E+05,4.94E+05,6.22E-08,1.02E-12,4.39E+05,9.12E-05,1.18E+00,6.43E-02,2.88E+05,6.64E+10,4.97E-02,2.98E+00,9.51E+00,2.98E+05,1.73E+05,1.48E+04,8.18E+03,4.03E+03,3.07E+03,2.17E+03,1.29E+03,7.46E+02,3.38E+02,p3Zarc,B,9.21E-05,1.00E+06,2.51E-02,2014-10-27/14:36:22
BC13872B 2014-10-23.z,1.21E+03,1.75E+05,1.18E+05,4.77E-11,1.05E-11,8.89E-01,1.29E+05,1.22E+03,4.67E-11,1.03E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.42E+10,8.90E-11,1.12E-10,5.55E+04,2.30E-06,5.40E-09,2.54E-01,5.31E+02,3.75E+05,2.32E-07,5.46E-10,6.44E+10,3.08E-04,8.28E-01,-2.06E+00,1.69E+05,3.87E+09,1.07E-01,6.79E+00,2.16E+01,1.75E+05,1.06E+05,1.86E+04,1.09E+04,5.46E+03,4.14E+03,2.91E+03,1.72E+03,9.92E+02,4.48E+02,p3Zarc,A,1.28E-05,1.00E+06,2.51E-02,2014-10-27/14:37:39
BC13873A 2014-10-23.z,1.27E+01,6.00E+04,4.08E+04,1.40E-10,9.63E-12,8.19E-01,4.05E+05,1.27E+01,1.40E-10,9.63E-12,7.20E+02,2.15E-06,1.99E-06,9.88E-01,1.11E+02,2.36E+06,6.44E-10,5.96E-10,1.85E+04,2.48E-05,4.85E-07,1.65E-01,1.78E+01,1.35E+05,2.35E-06,4.60E-08,3.66E+08,4.40E-03,1.52E+00,8.94E-02,5.46E+04,5.63E+05,1.25E-01,1.29E+01,3.77E+01,5.64E+04,3.42E+04,7.03E+03,4.61E+03,2.81E+03,2.27E+03,1.70E+03,1.06E+03,6.35E+02,2.93E+02,p3Zarc,D,1.11E-06,1.00E+06,2.51E-02,2014-10-27/14:45:44
BC13874 2014-10-23.z,1.45E+02,1.39E+05,1.05E+05,1.48E-10,1.18E-11,8.14E-01,1.29E+05,1.45E+02,1.48E-10,1.18E-11,1.05E+00,1.14E+00,1.35E+00,5.10E-01,1.13E-01,1.05E+10,1.14E-10,1.35E-10,3.40E+04,7.19E-06,1.09E-07,2.51E-01,4.31E+01,4.29E+05,4.31E-07,6.50E-09,1.04E+10,3.72E-04,8.82E-01,6.94E-02,1.33E+05,3.00E+06,1.11E-01,8.90E+00,2.75E+01,1.38E+05,8.33E+04,1.53E+04,9.93E+03,5.37E+03,4.15E+03,2.97E+03,1.78E+03,1.04E+03,4.70E+02,p3Zarc,A,9.33E-05,1.00E+06,2.51E-02,2014-10-27/14:46:23
