file,Rinf,Rh,Ph,Fh,Rm,Pm,Fm,Rl,Pl,Fl,Re,Qe,Pe-f,Pe-i,Linf,Fhigh,Flow,date/time
BC13858 2014-10-23.z,5.11E+01,1.32E+05,8.07E-01,1.74E+05,1.00E+00,5.00E-01,1.00E-01,8.63E+04,1.87E-01,1.60E+04,1.00E+10,1.17E-04,7.81E-01,3.54E-02,2.78E-05,1.00E+06,1.59E-02,2014-11-03/10:03:17
BC13859 2014-10-23.z,8.55E+01,1.15E+05,8.05E-01,2.00E+05,1.00E+00,5.01E-01,1.00E-01,4.25E+04,1.84E-01,1.15E+02,1.00E+10,5.85E-04,8.97E-01,8.84E-02,1.35E-06,1.00E+06,1.59E-02,2014-11-03/11:03:49
BC13860 2014-10-23.z,4.06E+01,1.55E+05,8.49E-01,1.48E+05,1.00E+00,5.00E-01,1.00E-01,6.10E+04,3.07E-01,2.64E+05,9.99E+09,1.55E-04,1.24E+00,3.37E-02,1.04E-05,1.00E+06,3.98E-02,2014-11-03/11:05:08
BC13861-A 2014-10-23.z,1.79E+01,6.67E+04,7.41E-01,2.43E+05,1.00E+00,5.00E-01,1.00E-01,1.24E+04,3.06E-01,3.39E+01,1.00E+10,4.05E-04,2.69E-01,-2.03E+00,2.29E-06,1.00E+06,1.59E-02,2014-11-03/11:05:19
BC13862-A 2014-10-23.z,1.00E+03,7.91E+05,8.70E-01,3.02E+04,1.00E+00,5.00E-01,1.00E-01,6.34E+05,4.27E-01,3.98E+03,9.91E+09,4.19E-06,7.26E-01,2.37E-02,1.07E-04,1.00E+06,1.59E-02,2014-11-03/11:05:47
BC13863-A 2014-10-23.z,3.35E+01,1.72E+05,7.37E-01,8.55E+04,1.00E+00,5.00E-01,1.00E-01,5.06E+04,2.07E-01,7.52E+02,1.00E+10,6.46E-05,3.50E-01,4.60E-02,1.66E-05,1.00E+06,1.59E-02,2014-11-03/11:05:59
BC13864 2014-10-23.z,1.54E+01,1.14E+05,8.21E-01,1.84E+05,1.00E+00,5.00E-01,1.00E-01,3.79E+04,2.13E-01,2.42E+04,1.00E+10,7.26E-04,2.02E-01,5.02E-01,3.71E-06,1.00E+06,2.51E-02,2014-11-03/10:04:14
BC13866 2014-10-23.z,1.78E+01,8.76E+02,7.64E-01,1.52E+06,3.26E+03,4.83E-01,1.91E+03,8.58E+02,8.81E-01,2.47E+01,1.00E+10,2.47E-04,3.89E-01,-2.05E+00,2.37E-07,1.00E+06,1.00E+00,2015-03-09/15:27:56
BC13867-A 2014-10-23.z,4.30E+03,9.17E+04,8.46E-01,1.76E+05,2.72E+03,6.54E-01,4.30E+02,5.14E+03,3.93E-01,1.23E+00,1.07E+10,1.88E-04,9.34E-01,2.26E-02,7.10E-07,1.59E+05,6.31E-02,2015-03-09/15:29:24
BC13868 2014-10-23.z,3.52E+01,3.31E+04,7.53E-01,5.46E+05,6.81E+03,4.53E-01,2.35E+02,5.16E+03,3.99E-01,6.02E-01,1.00E+10,8.64E-04,2.80E-01,3.57E-01,1.44E-05,1.00E+06,1.59E-02,2015-03-09/15:29:55
BC13869 2014-10-23.z,3.61E+01,3.43E+04,7.34E-01,3.54E+05,8.09E+03,4.62E-01,4.35E+02,8.69E+03,4.21E-01,4.79E-01,1.00E+10,2.13E-04,3.25E-01,3.00E-01,1.07E-06,1.00E+06,2.51E-02,2015-03-09/15:31:36
BC13870 2014-10-23.z,5.13E+02,6.83E+05,7.58E-01,2.12E+04,1.00E+00,5.00E-01,1.00E-01,6.06E+04,3.29E-01,4.81E+00,7.84E+05,6.94E-06,2.90E-01,5.55E-02,8.69E-04,3.98E+04,1.59E-02,2015-03-09/15:32:27
BC13871-B 2014-10-23.z,1.02E+01,2.46E+05,7.76E-01,6.29E+04,1.00E+00,5.00E-01,1.00E-01,6.49E+04,1.58E-01,3.62E+01,1.81E+05,1.09E-04,8.41E-01,6.89E-02,1.05E-04,1.00E+05,6.31E-02,2015-03-09/15:33:27
BC13872B 2014-10-23.z,1.26E+03,1.16E+05,8.90E-01,1.31E+05,1.00E+00,5.00E-01,1.00E-01,5.76E+04,2.45E-01,5.97E+02,1.00E+10,3.00E-04,8.26E-01,-2.04E+00,1.04E-05,1.00E+06,1.59E-02,2014-11-03/10:08:28
BC13873A 2014-10-23.z,1.12E+01,4.27E+04,8.03E-01,3.83E+05,1.16E+03,8.54E-01,1.06E+02,1.60E+04,1.93E-01,5.67E+00,3.66E+08,2.50E-03,9.62E-01,1.15E-01,1.41E-06,3.98E+05,2.51E-02,2015-03-09/15:34:14
BC13874 2014-10-23.z,1.20E+01,1.05E+05,8.10E-01,1.29E+05,1.00E+00,5.00E-01,1.00E-01,4.01E+04,2.11E-01,1.11E+01,3.66E+08,1.07E-03,1.44E+00,3.58E-02,3.40E-06,1.00E+06,1.59E-02,2014-11-03/10:10:15
BC13875B 2014-10-23.z,2.09E+00,4.11E+02,9.99E-01,1.44E+06,2.43E+03,6.49E-01,8.73E+03,2.34E+03,5.75E-01,7.40E+01,1.00E+10,1.86E-04,3.11E-01,-2.14E+00,8.37E-08,1.00E+06,6.31E+00,2015-03-09/15:37:52
BC13876B 2014-10-28.z,3.20E+01,1.43E+04,7.10E-01,8.38E+05,4.59E+03,5.21E-01,1.67E+02,1.84E+03,6.67E-01,5.93E-01,1.00E+10,3.06E-03,4.33E-01,-2.00E+00,1.45E-06,1.00E+06,1.59E-02,2014-11-03/10:11:15
BC13877 2014-10-28.z,7.01E+01,6.63E+04,7.52E-01,2.86E+05,1.00E+00,5.00E-01,1.00E-01,2.86E+04,2.17E-01,2.66E+01,1.00E+10,3.75E-04,2.07E-01,6.20E-01,1.23E-05,1.00E+06,1.59E-02,2014-11-03/10:11:31
BC13878B 2014-10-28.z,8.43E+01,1.22E+05,8.60E-01,2.27E+05,1.00E+00,5.00E-01,1.00E-01,2.02E+04,2.87E-01,1.43E+03,1.00E+10,5.51E-05,6.95E-01,8.34E-03,2.84E-05,1.00E+06,3.98E-02,2014-11-03/10:13:01
BC13879A 2014-10-28.z,6.92E-01,2.54E+02,1.00E+00,8.52E+05,1.31E+03,6.17E-01,3.61E+03,2.15E+03,3.91E-01,4.53E+00,1.00E+10,2.18E-04,3.00E-01,-1.90E+00,2.52E-08,1.00E+06,3.98E+00,2015-03-09/15:45:20
BC13880B 2014-10-28.z,2.36E+02,1.19E+05,7.70E-01,1.20E+05,2.10E+04,5.56E-01,1.71E+02,1.61E+04,5.00E-01,2.00E-01,1.38E+10,5.37E-04,9.20E-01,1.08E-01,7.75E-05,1.59E+05,2.51E-02,2015-03-09/15:45:51
BC13881 2014-10-28.z,5.05E+01,7.96E+03,8.13E-01,2.18E+06,1.45E+04,4.08E-01,1.35E+03,4.21E+03,5.69E-01,4.15E-01,1.12E+06,1.93E-04,2.94E-01,5.15E-01,1.54E-06,1.00E+06,3.98E-02,2015-03-09/15:47:21
BC13882A 2014-10-28.z,6.93E+01,1.76E+05,7.92E-01,9.14E+04,1.00E+00,5.00E-01,1.00E-01,7.66E+04,1.65E-01,9.90E+00,1.00E+10,1.18E-04,4.85E-01,1.79E-01,7.22E-05,1.00E+06,1.59E-02,2014-11-03/10:15:37
BC13883 2014-10-23.z,3.10E+01,6.95E+04,7.81E-01,2.09E+05,1.00E+00,5.00E-01,1.00E-01,2.09E+04,2.27E-01,1.09E+02,1.84E+10,1.87E-03,1.16E+00,6.60E-02,1.19E-05,1.00E+06,1.59E-02,2014-11-03/10:16:22
BC13884A 2014-10-23.z,7.34E+01,3.88E+04,6.89E-01,3.73E+05,4.58E+03,5.56E-01,2.85E+02,4.00E+03,5.72E-01,6.74E-01,2.19E+10,8.27E-04,7.15E-01,7.77E-02,6.69E-06,1.00E+06,2.51E-02,2014-11-12/10:40:44
BC13885A 2014-10-23.z,3.00E+02,1.05E+05,8.43E-01,1.67E+05,1.00E+00,5.00E-01,1.00E-01,1.71E+04,3.71E-01,9.04E+02,1.00E+10,6.95E-05,4.78E-01,2.45E-02,1.89E-04,1.00E+06,6.31E-02,2014-11-03/10:20:25
BC13886 2014-10-23.z,1.28E+02,1.70E+05,8.89E-01,1.11E+05,1.00E+00,5.00E-01,1.00E-01,4.79E+04,3.10E-01,3.38E+03,1.00E+10,3.21E-05,1.20E+00,1.52E-02,2.35E-04,1.00E+06,1.59E-02,2014-11-03/10:20:55
BC13887A 2014-10-23.z,2.92E+02,2.35E+05,8.79E-01,7.69E+04,1.00E+00,5.00E-01,1.00E-01,4.69E+04,3.78E-01,6.76E+02,1.00E+10,2.03E-05,1.35E+00,1.77E-02,2.89E-04,1.00E+06,1.59E-02,2014-11-03/10:21:02
BC13888A 2014-10-23.z,6.97E+02,3.29E+04,7.68E-01,5.43E+05,1.00E+00,5.00E-01,1.00E-01,1.86E+04,2.54E-01,2.12E+01,1.00E+10,2.24E-03,9.70E-01,9.60E-02,3.01E-06,1.00E+06,1.59E-02,2014-11-03/10:21:12
BC13889 2014-10-23.z,2.91E+03,1.57E+05,8.51E-01,9.82E+04,1.00E+00,5.00E-01,1.00E-01,2.55E+04,3.13E-01,1.35E+01,1.00E+10,1.06E-04,1.01E+00,3.44E-02,3.10E-05,1.00E+06,1.59E-02,2014-11-03/10:21:20
BC13890A 2014-10-23.z,5.27E+02,2.52E+04,7.70E-01,5.68E+05,8.97E+03,5.26E-01,4.90E+02,1.20E+04,3.74E-01,2.02E-01,1.00E+10,1.10E-02,2.62E-01,1.21E-01,5.70E-08,1.00E+06,1.00E-02,2015-10-14/11:44:35
BC13891A 2014-10-23.z,2.06E+02,4.31E+05,8.43E-01,2.87E+04,1.00E+00,5.00E-01,1.00E-01,2.19E+05,2.69E-01,1.82E+03,9.40E+09,1.41E-05,7.78E-01,4.29E-02,1.78E-04,1.00E+06,1.59E-02,2014-11-03/10:21:38
